dataset,node,direction,entropy
epinions,4714,out,0.0
epinions,4714,in,0.0
epinions,4715,out,0.977173042332137
epinions,4715,in,0.17089522427059894
epinions,4716,out,0.0
epinions,4716,in,1.0
epinions,4721,out,0.0
epinions,4721,in,0.41992109737571803
epinions,4724,out,0.0
epinions,4724,in,0.0
epinions,4726,out,0.36505518964028494
epinions,4726,in,0.20307392998664564
epinions,4727,out,0.0
epinions,4727,in,0.0
epinions,4728,out,0.0
epinions,4728,in,0.907165767573082
epinions,4729,out,0.0
epinions,4729,in,0.0
epinions,4730,out,0.0
epinions,4730,in,0.0
epinions,4731,out,0.0
epinions,4731,in,0.0
epinions,4735,out,0.0
epinions,4735,in,0.9886994082884974
epinions,4736,out,0.0
epinions,4736,in,0.5032583347756457
epinions,4738,out,0.9182958340544896
epinions,4738,in,0.7219280948873623
epinions,4739,out,0.0
epinions,4739,in,0.9940302114769565
epinions,4740,out,0.5885870739324581
epinions,4740,in,0.4798320236161285
epinions,4741,out,0.0
epinions,4741,in,0.0
epinions,4742,out,0.9976875760352552
epinions,4742,in,0.40502013262424225
epinions,4743,out,0.0
epinions,4743,in,0.0
epinions,4744,out,0.0
epinions,4744,in,0.0
epinions,4746,out,0.3826208560182447
epinions,4746,in,0.4488644887230294
epinions,4747,out,0.0
epinions,4747,in,0.8112781244591328
epinions,4748,out,0.11684976092365482
epinions,4748,in,0.5699613760403499
epinions,4750,out,0.6500224216483541
epinions,4750,in,0.0
epinions,4751,out,1.0
epinions,4751,in,0.0
epinions,4755,out,0.0
epinions,4755,in,0.5916727785823275
epinions,4756,out,0.0
epinions,4756,in,0.7642045065086203
epinions,4759,out,0.0
epinions,4759,in,0.9910760598382222
epinions,4762,out,0.0
epinions,4762,in,0.0
epinions,4764,out,0.0
epinions,4764,in,0.5916727785823275
epinions,4766,out,0.5435644431995964
epinions,4766,in,0.0
epinions,4770,out,0.38431154412649693
epinions,4770,in,0.4394969869215134
epinions,4771,out,0.0
epinions,4771,in,0.1247975754927796
epinions,4772,out,0.0
epinions,4772,in,0.5586293734521992
epinions,4774,out,0.2623112196143365
epinions,4774,in,0.5159469300074475
epinions,4775,out,0.9268190639645772
epinions,4775,in,0.2848886859041499
epinions,4777,out,0.0
epinions,4777,in,0.9182958340544896
epinions,4778,out,0.0
epinions,4778,in,1.0
epinions,4779,out,0.20818094555717115
epinions,4779,in,0.2386845113510013
epinions,4781,out,0.8904916402194913
epinions,4781,in,0.9293636260137187
epinions,4782,out,0.0
epinions,4782,in,0.3372900666170139
epinions,4783,out,0.0
epinions,4783,in,0.0
epinions,4785,out,0.8826013308449941
epinions,4785,in,0.9350865164204485
epinions,4797,out,0.5665095065529052
epinions,4797,in,0.0
epinions,4798,out,0.8865408928220899
epinions,4798,in,0.863120568566631
epinions,4799,out,0.19823496409776623
epinions,4799,in,0.08887969568457593
epinions,4800,out,0.0
epinions,4800,in,0.4689955935892811
epinions,4801,out,0.0
epinions,4801,in,0.0
epinions,4802,out,0.9980008838722995
epinions,4802,in,0.4689955935892811
epinions,4803,out,1.0
epinions,4803,in,0.39124356362925566
epinions,4804,out,0.426228656998145
epinions,4804,in,0.15374218032876202
epinions,4805,out,0.0
epinions,4805,in,0.8112781244591328
epinions,4807,out,0.0
epinions,4807,in,0.3372900666170139
epinions,4808,out,0.0
epinions,4808,in,0.0
epinions,4809,out,0.8146472645278225
epinions,4809,in,0.5127091420308771
epinions,4811,out,0.0
epinions,4811,in,0.0
epinions,4817,out,0.0
epinions,4817,in,0.6500224216483541
epinions,4818,out,0.0
epinions,4818,in,0.0
epinions,4819,out,0.23519338181924138
epinions,4819,in,0.5032583347756459
epinions,4820,out,0.7682814090975241
epinions,4820,in,0.5032583347756459
epinions,4822,out,0.0
epinions,4822,in,0.0
epinions,4823,out,0.0
epinions,4823,in,0.6193821946787638
epinions,4824,out,0.0
epinions,4824,in,0.0
epinions,4825,out,0.0
epinions,4825,in,0.9182958340544896
epinions,4826,out,0.7219280948873623
epinions,4826,in,0.9182958340544896
epinions,4830,out,0.5032583347756459
epinions,4830,in,0.779349837292085
epinions,4832,out,0.0
epinions,4832,in,0.9709505944546686
epinions,4834,out,0.6840384356390417
epinions,4834,in,0.41381685030363385
epinions,4835,out,0.4689955935892812
epinions,4835,in,0.1871762568732082
epinions,4838,out,0.0
epinions,4838,in,0.41381685030363385
epinions,4841,out,0.0
epinions,4841,in,0.0
epinions,4844,out,0.0
epinions,4844,in,0.0
epinions,4845,out,0.0
epinions,4845,in,0.0
epinions,4846,out,0.5225593745369408
epinions,4846,in,0.5435644431995964
epinions,4847,out,0.0
epinions,4847,in,0.0
epinions,4848,out,0.0
epinions,4848,in,0.0
epinions,4850,out,0.0
epinions,4850,in,0.0
epinions,4851,out,0.5586293734521992
epinions,4851,in,0.5435644431995964
epinions,4854,out,0.0
epinions,4854,in,1.0
epinions,4860,out,0.0
epinions,4860,in,0.5916727785823275
epinions,4862,out,0.74959525725948
epinions,4862,in,0.9182958340544896
epinions,4863,out,0.0
epinions,4863,in,0.0
epinions,4865,out,0.8112781244591328
epinions,4865,in,0.2863969571159563
epinions,4866,out,0.0
epinions,4866,in,0.0
epinions,4870,out,0.9867867202680318
epinions,4870,in,0.4321481607261779
epinions,4872,out,0.6442142137378307
epinions,4872,in,0.3188554185210097
epinions,4873,out,0.0
epinions,4873,in,0.0
epinions,4874,out,0.8154224977821039
epinions,4874,in,0.4360946642961213
epinions,4875,out,0.0
epinions,4875,in,0.0
epinions,4876,out,0.12394986771100738
epinions,4876,in,0.12394986771100738
epinions,4878,out,0.0
epinions,4878,in,0.0
epinions,4879,out,0.0
epinions,4879,in,0.0
epinions,4882,out,0.0
epinions,4882,in,0.9744894033980523
epinions,4883,out,0.0
epinions,4883,in,0.0
epinions,4884,out,0.0
epinions,4884,in,0.0
epinions,4885,out,0.9612366047228759
epinions,4885,in,0.6136190195993707
epinions,4887,out,0.0
epinions,4887,in,0.863120568566631
epinions,4889,out,0.9709505944546686
epinions,4889,in,0.7642045065086203
epinions,4890,out,0.3912435636292555
epinions,4890,in,0.18512476010054574
epinions,4891,out,0.2285381439535282
epinions,4891,in,0.5916727785823275
epinions,4892,out,0.2222848306856879
epinions,4892,in,0.16232618017539302
epinions,4894,out,0.0
epinions,4894,in,0.0
epinions,4895,out,0.3372900666170139
epinions,4895,in,0.0
epinions,4896,out,0.0
epinions,4896,in,0.8865408928220899
epinions,4897,out,0.15935006268563462
epinions,4897,in,0.24229218908241493
epinions,4898,out,0.0
epinions,4898,in,0.0
epinions,4899,out,0.0
epinions,4899,in,0.0
epinions,4900,out,0.7642045065086203
epinions,4900,in,0.16542703399626688
epinions,4902,out,0.0
epinions,4902,in,0.0
epinions,4903,out,0.0
epinions,4903,in,0.0
epinions,4905,out,0.0
epinions,4905,in,0.3533593350214213
epinions,4906,out,0.999609836367807
epinions,4906,in,0.43722227220134136
epinions,4907,out,0.8849636363831528
epinions,4907,in,0.0
epinions,4908,out,0.0
epinions,4908,in,0.0
epinions,4910,out,0.7912027614010295
epinions,4910,in,0.20307392998664564
epinions,4911,out,0.5916727785823275
epinions,4911,in,0.0
epinions,4912,out,0.0
epinions,4912,in,0.0
epinions,4916,out,0.8277080459850166
epinions,4916,in,0.5192300197391868
epinions,4917,out,0.0
epinions,4917,in,0.3712323266408755
epinions,4920,out,0.0
epinions,4920,in,0.0
epinions,4922,out,0.2974722489192898
epinions,4922,in,0.4220005168831532
epinions,4924,out,0.6394571324851641
epinions,4924,in,0.40131392165306323
epinions,4925,out,0.0
epinions,4925,in,0.0
epinions,4927,out,0.0
epinions,4927,in,0.0
epinions,4929,out,0.0
epinions,4929,in,0.6500224216483541
epinions,4932,out,0.0
epinions,4932,in,0.9568886656798212
epinions,4934,out,0.0
epinions,4934,in,0.9886994082884974
epinions,4935,out,0.0
epinions,4935,in,0.0
epinions,4937,out,0.5032583347756459
epinions,4937,in,0.4689955935892811
epinions,4938,out,0.0
epinions,4938,in,0.0
epinions,4940,out,0.11281549014794867
epinions,4940,in,0.9081783472997051
epinions,4941,out,0.7219280948873623
epinions,4941,in,0.0
epinions,4944,out,0.0
epinions,4944,in,0.0
epinions,4945,out,0.0
epinions,4945,in,0.0
epinions,4946,out,0.0
epinions,4946,in,0.0
epinions,4948,out,0.7051129656766131
epinions,4948,in,0.4185876490798781
epinions,4950,out,0.9693253797191862
epinions,4950,in,0.4186843105268563
epinions,4953,out,0.0
epinions,4953,in,0.0
epinions,4956,out,0.0
epinions,4956,in,0.0
epinions,4957,out,0.6373874992221911
epinions,4957,in,0.631263018091612
epinions,4959,out,0.2698284477030738
epinions,4959,in,0.20986589769852226
epinions,4963,out,0.0
epinions,4963,in,0.0
epinions,4964,out,0.0
epinions,4964,in,0.4854607607459134
epinions,4965,out,0.426228656998145
epinions,4965,in,0.5086113313826897
epinions,4966,out,0.10465119894344255
epinions,4966,in,0.2597169275408665
epinions,4967,out,0.0
epinions,4967,in,0.450791388354665
epinions,4968,out,0.0
epinions,4968,in,0.9182958340544896
epinions,4974,out,0.0
epinions,4974,in,0.5746356978376794
epinions,4975,out,0.0
epinions,4975,in,0.8453509366224364
epinions,4976,out,0.4394969869215134
epinions,4976,in,0.5032583347756459
epinions,4981,out,0.0
epinions,4981,in,0.5916727785823275
epinions,4982,out,0.29367630985136955
epinions,4982,in,0.4889085914405153
epinions,4983,out,1.0
epinions,4983,in,0.3227569588973983
epinions,4988,out,0.0
epinions,4988,in,0.0
epinions,4989,out,0.0
epinions,4989,in,0.5665095065529052
epinions,4992,out,0.3809465857053901
epinions,4992,in,0.1231146356503108
epinions,4993,out,0.5435644431995964
epinions,4993,in,0.40217919020227266
epinions,4994,out,0.9709505944546686
epinions,4994,in,1.0
epinions,4999,out,0.0
epinions,4999,in,0.0
epinions,5000,out,0.7578784625383954
epinions,5000,in,0.7958812735955936
epinions,5001,out,0.0
epinions,5001,in,0.0
epinions,5003,out,0.8782023073547232
epinions,5003,in,0.17850426252471416
epinions,5006,out,0.41381685030363385
epinions,5006,in,0.4537163391869448
epinions,5009,out,0.0
epinions,5009,in,0.2285381439535282
epinions,5011,out,0.0
epinions,5011,in,0.0
epinions,5012,out,0.0
epinions,5012,in,0.0
epinions,5016,out,0.0
epinions,5016,in,0.8112781244591328
epinions,5018,out,0.0
epinions,5018,in,0.0
epinions,5019,out,0.0
epinions,5019,in,0.0
epinions,5020,out,0.20062232431271465
epinions,5020,in,0.6962122601251458
epinions,5021,out,0.0
epinions,5021,in,0.3912435636292555
epinions,5022,out,0.1871762568732082
epinions,5022,in,0.6500224216483541
epinions,5023,out,0.9751190649408661
epinions,5023,in,0.3712323266408755
epinions,5025,out,0.8112781244591328
epinions,5025,in,0.4854607607459134
epinions,5029,out,0.5381411852224502
epinions,5029,in,0.08499555983671243
epinions,5031,out,0.5916727785823275
epinions,5031,in,0.0
epinions,5033,out,0.08146202691505977
epinions,5033,in,0.117594665658865
epinions,5034,out,0.0
epinions,5034,in,0.5225593745369408
epinions,5035,out,0.0
epinions,5035,in,0.0
epinions,5036,out,0.0
epinions,5036,in,0.0
epinions,5039,out,0.0
epinions,5039,in,1.0
epinions,5041,out,0.8112781244591328
epinions,5041,in,0.0
epinions,5042,out,0.0
epinions,5042,in,0.4689955935892811
epinions,5046,out,0.3912435636292555
epinions,5046,in,1.0
epinions,5047,out,0.0
epinions,5047,in,0.0
epinions,5049,out,0.0
epinions,5049,in,0.0
epinions,5051,out,0.9852281360342515
epinions,5051,in,0.3570809433626917
epinions,5053,out,0.0
epinions,5053,in,0.0
epinions,5054,out,0.0
epinions,5054,in,0.23039691018846745
epinions,5057,out,0.0
epinions,5057,in,1.0
epinions,5060,out,0.0
epinions,5060,in,0.5916727785823275
epinions,5063,out,0.0
epinions,5063,in,0.0
epinions,5065,out,0.39662777277837896
epinions,5065,in,0.9865446300055645
epinions,5068,out,0.0
epinions,5068,in,0.5435644431995964
epinions,5070,out,0.0
epinions,5070,in,0.5916727785823275
epinions,5071,out,0.0
epinions,5071,in,0.3795243778626807
epinions,5072,out,0.0
epinions,5072,in,0.7424875695421236
epinions,5074,out,0.7918583525674836
epinions,5074,in,0.9494520153879484
epinions,5075,out,0.09140162014739285
epinions,5075,in,0.0
epinions,5077,out,0.9182958340544896
epinions,5077,in,0.0
epinions,5078,out,0.9990102708804813
epinions,5078,in,0.33426813256179394
epinions,5079,out,0.0
epinions,5079,in,0.4889085914405153
epinions,5081,out,0.2918182565988859
epinions,5081,in,0.3912435636292555
epinions,5082,out,0.7990485210442682
epinions,5082,in,0.9927744539878083
epinions,5084,out,0.0
epinions,5084,in,0.9182958340544896
epinions,5087,out,0.0
epinions,5087,in,0.0
epinions,5088,out,0.863120568566631
epinions,5088,in,0.0
epinions,5091,out,0.0
epinions,5091,in,0.0
epinions,5095,out,0.7642045065086203
epinions,5095,in,0.0
epinions,5099,out,0.17925606692832127
epinions,5099,in,0.0
epinions,5103,out,0.5813214987637026
epinions,5103,in,0.4394969869215134
epinions,5104,out,0.0
epinions,5104,in,0.0
epinions,5105,out,0.8894663896628685
epinions,5105,in,0.1381572285625264
epinions,5106,out,0.20062232431271465
epinions,5106,in,0.9886994082884974
epinions,5107,out,0.0
epinions,5107,in,0.0
epinions,5108,out,0.0
epinions,5108,in,0.5032583347756459
epinions,5110,out,0.8904916402194913
epinions,5110,in,0.5916727785823275
epinions,5115,out,0.0
epinions,5115,in,0.6500224216483541
epinions,5121,out,0.0
epinions,5121,in,0.7219280948873623
epinions,5122,out,0.0
epinions,5122,in,0.0
epinions,5123,out,0.9043814577244937
epinions,5123,in,0.24229218908241493
epinions,5126,out,0.18116640155354563
epinions,5126,in,0.27045051351246563
epinions,5128,out,0.5032583347756459
epinions,5128,in,0.8812908992306927
epinions,5129,out,0.7531979910695014
epinions,5129,in,0.24988229283318536
epinions,5132,out,0.0
epinions,5132,in,0.0
epinions,5133,out,0.0
epinions,5133,in,0.9182958340544896
epinions,5135,out,0.9789987370022761
epinions,5135,in,0.4360081920156971
epinions,5136,out,0.6962122601251458
epinions,5136,in,0.4689955935892811
epinions,5139,out,0.0
epinions,5139,in,0.8112781244591328
epinions,5140,out,0.0
epinions,5140,in,0.0
epinions,5141,out,0.41381685030363385
epinions,5141,in,0.5916727785823275
epinions,5142,out,1.0
epinions,5142,in,0.0
epinions,5145,out,0.0
epinions,5145,in,0.0
epinions,5146,out,0.0
epinions,5146,in,0.0
epinions,5147,out,0.6193821946787638
epinions,5147,in,0.0
epinions,5148,out,0.9831057642615737
epinions,5148,in,0.2222848306856879
epinions,5149,out,0.1892784312612017
epinions,5149,in,0.0
epinions,5151,out,0.0
epinions,5151,in,0.3533593350214213
epinions,5154,out,0.3227569588973983
epinions,5154,in,0.0
epinions,5155,out,0.7855602922535472
epinions,5155,in,0.117594665658865
epinions,5157,out,0.0
epinions,5157,in,0.9182958340544896
epinions,5158,out,0.0
epinions,5158,in,0.0
epinions,5162,out,0.9394532068181356
epinions,5162,in,0.31123570787647303
epinions,5163,out,0.0
epinions,5163,in,0.0
epinions,5165,out,0.0
epinions,5165,in,0.0
epinions,5166,out,0.9881108365218301
epinions,5166,in,0.36429902881461257
epinions,5167,out,0.3712323266408755
epinions,5167,in,0.3912435636292555
epinions,5171,out,0.2580186686648154
epinions,5171,in,0.3227569588973983
epinions,5175,out,0.7309263775906011
epinions,5175,in,0.74959525725948
epinions,5176,out,0.0
epinions,5176,in,0.4689955935892811
epinions,5181,out,0.0
epinions,5181,in,0.27619542764793925
epinions,5186,out,0.0
epinions,5186,in,0.0
epinions,5188,out,0.0
epinions,5188,in,0.4394969869215134
epinions,5189,out,0.6024308020404453
epinions,5189,in,0.3602750564216627
epinions,5191,out,0.0
epinions,5191,in,0.0
epinions,5192,out,0.27619542764793925
epinions,5192,in,0.9852281360342515
epinions,5194,out,0.0
epinions,5194,in,0.0
epinions,5197,out,0.0
epinions,5197,in,1.0
epinions,5200,out,0.8112781244591328
epinions,5200,in,0.5032583347756459
epinions,5202,out,0.8112781244591328
epinions,5202,in,0.0
epinions,5203,out,0.8591042830582589
epinions,5203,in,0.5684369300276935
epinions,5204,out,0.41381685030363385
epinions,5204,in,0.964078764808229
epinions,5205,out,0.0
epinions,5205,in,0.41381685030363385
epinions,5206,out,0.5185697317883058
epinions,5206,in,0.332286630221615
epinions,5208,out,0.426228656998145
epinions,5208,in,0.0
epinions,5211,out,0.0
epinions,5211,in,0.0
epinions,5213,out,0.9369230285991699
epinions,5213,in,0.2744575606614272
epinions,5214,out,0.2974722489192898
epinions,5214,in,0.0
epinions,5216,out,0.5225593745369408
epinions,5216,in,0.2974722489192898
epinions,5217,out,0.0
epinions,5217,in,0.0
epinions,5219,out,0.0
epinions,5219,in,0.0
epinions,5221,out,0.0
epinions,5221,in,0.7219280948873623
epinions,5222,out,0.0
epinions,5222,in,0.0
epinions,5223,out,0.0
epinions,5223,in,0.863120568566631
epinions,5224,out,0.0
epinions,5224,in,0.0
epinions,5225,out,0.0
epinions,5225,in,0.24988229283318536
epinions,5227,out,0.14144054254182076
epinions,5227,in,0.1895829925083024
epinions,5228,out,0.9644590583765233
epinions,5228,in,0.5032583347756459
epinions,5229,out,0.0
epinions,5229,in,0.0
epinions,5234,out,0.0
epinions,5234,in,0.0
epinions,5236,out,0.0
epinions,5236,in,0.0
epinions,5237,out,0.2580186686648154
epinions,5237,in,0.6098403047164005
epinions,5238,out,0.0
epinions,5238,in,0.0
epinions,5240,out,0.0
epinions,5240,in,0.0
epinions,5241,out,0.0
epinions,5241,in,0.7219280948873623
epinions,5242,out,0.0
epinions,5242,in,0.0
epinions,5243,out,0.9910760598382222
epinions,5243,in,0.8112781244591328
epinions,5244,out,0.0
epinions,5244,in,0.0
epinions,5245,out,0.5770042503157247
epinions,5245,in,0.4537163391869448
epinions,5246,out,0.0
epinions,5246,in,0.5435644431995964
epinions,5247,out,0.0
epinions,5247,in,0.0
epinions,5249,out,0.0
epinions,5249,in,1.0
epinions,5250,out,0.0
epinions,5250,in,0.0
epinions,5251,out,0.0
epinions,5251,in,0.2580186686648154
epinions,5252,out,0.0
epinions,5252,in,0.5916727785823275
epinions,5253,out,0.0
epinions,5253,in,0.4689955935892811
epinions,5254,out,0.0
epinions,5254,in,0.0
epinions,5255,out,0.0
epinions,5255,in,0.0
epinions,5256,out,0.6840384356390417
epinions,5256,in,0.863120568566631
epinions,5257,out,0.3984592740952357
epinions,5257,in,0.2667649878030259
epinions,5258,out,0.0
epinions,5258,in,0.9709505944546686
epinions,5259,out,0.0
epinions,5259,in,0.0
epinions,5260,out,0.2667649878030259
epinions,5260,in,0.41381685030363385
epinions,5261,out,0.9182958340544896
epinions,5261,in,0.9932338197397066
epinions,5262,out,0.0
epinions,5262,in,0.0
epinions,5263,out,0.0
epinions,5263,in,1.0
epinions,5264,out,0.0
epinions,5264,in,0.0
epinions,5267,out,0.0
epinions,5267,in,0.6500224216483541
epinions,5268,out,0.5916727785823275
epinions,5268,in,0.9709505944546686
epinions,5271,out,0.0
epinions,5271,in,0.0
epinions,5272,out,0.0
epinions,5272,in,0.0
epinions,5274,out,0.0
epinions,5274,in,0.0
epinions,5275,out,0.6409441847875287
epinions,5275,in,0.24526637282595465
epinions,5276,out,0.8112781244591328
epinions,5276,in,0.4689955935892811
epinions,5278,out,0.4980278865344765
epinions,5278,in,0.20559250818508293
epinions,5280,out,0.5032583347756459
epinions,5280,in,0.4689955935892811
epinions,5283,out,0.0
epinions,5283,in,0.0
epinions,5286,out,0.0
epinions,5286,in,0.0
epinions,5287,out,0.0
epinions,5287,in,0.0
epinions,5288,out,0.0
epinions,5288,in,0.0
epinions,5290,out,0.8112781244591328
epinions,5290,in,0.0
epinions,5291,out,0.6761627418829198
epinions,5291,in,0.25708575419317403
epinions,5293,out,0.0
epinions,5293,in,0.8112781244591328
epinions,5295,out,0.0
epinions,5295,in,0.4689955935892811
epinions,5297,out,0.0
epinions,5297,in,0.0
epinions,5304,out,0.0
epinions,5304,in,0.6500224216483541
epinions,5305,out,0.0
epinions,5305,in,0.0
epinions,5308,out,0.9709505944546686
epinions,5308,in,0.8112781244591328
epinions,5309,out,0.0
epinions,5309,in,0.0
epinions,5310,out,0.0
epinions,5310,in,0.0
epinions,5311,out,0.9805974409917271
epinions,5311,in,0.273769168682942
epinions,5312,out,0.8112781244591328
epinions,5312,in,0.5435644431995964
epinions,5313,out,0.8812908992306927
epinions,5313,in,0.0
epinions,5314,out,0.0
epinions,5314,in,0.0
epinions,5315,out,0.0
epinions,5315,in,0.0
epinions,5321,out,0.5225593745369408
epinions,5321,in,0.7793498372920853
epinions,5322,out,0.0
epinions,5322,in,0.0
epinions,5323,out,0.0
epinions,5323,in,0.0
epinions,5324,out,0.0
epinions,5324,in,0.0
epinions,5325,out,0.9921994167377695
epinions,5325,in,0.4537163391869448
epinions,5327,out,0.0
epinions,5327,in,0.0
epinions,5333,out,0.0
epinions,5333,in,0.17033057560105996
epinions,5337,out,0.0
epinions,5337,in,0.0
epinions,5339,out,0.1871762568732082
epinions,5339,in,0.40907313904382653
epinions,5340,out,0.9182958340544896
epinions,5340,in,0.0
epinions,5343,out,0.0
epinions,5343,in,0.0
epinions,5345,out,0.9182958340544896
epinions,5345,in,1.0
epinions,5348,out,0.0
epinions,5348,in,1.0
epinions,5349,out,0.0
epinions,5349,in,0.0
epinions,5355,out,0.04551036663398929
epinions,5355,in,0.674398887071447
epinions,5358,out,0.9090221560878149
epinions,5358,in,0.3533593350214213
epinions,5361,out,0.0
epinions,5361,in,0.0
epinions,5363,out,0.0
epinions,5363,in,0.0
epinions,5366,out,0.0
epinions,5366,in,0.0
epinions,5367,out,0.0
epinions,5367,in,0.4689955935892811
epinions,5370,out,0.0
epinions,5370,in,0.0
epinions,5371,out,0.8112781244591328
epinions,5371,in,0.779349837292085
epinions,5373,out,0.28290479297989224
epinions,5373,in,0.0
epinions,5375,out,0.0
epinions,5375,in,0.8904916402194913
epinions,5376,out,0.0
epinions,5376,in,0.0
epinions,5377,out,0.9685867165455516
epinions,5377,in,0.09539602831657458
epinions,5379,out,0.0
epinions,5379,in,0.0
epinions,5385,out,0.0
epinions,5385,in,0.9182958340544896
epinions,5387,out,0.17925606692832127
epinions,5387,in,0.0
epinions,5390,out,0.05977499339155048
epinions,5390,in,0.5813214987637026
epinions,5394,out,0.0
epinions,5394,in,0.21084230031853213
epinions,5395,out,0.9709505944546686
epinions,5395,in,0.27619542764793925
epinions,5396,out,0.18312206830137284
epinions,5396,in,0.30540057087920036
epinions,5397,out,0.0
epinions,5397,in,0.0
epinions,5398,out,0.7323984009474939
epinions,5398,in,0.4299283203096889
epinions,5399,out,0.3372900666170139
epinions,5399,in,0.6360156177392154
epinions,5403,out,0.0
epinions,5403,in,0.0
epinions,5404,out,0.0
epinions,5404,in,0.0
epinions,5405,out,0.7219280948873623
epinions,5405,in,0.0
epinions,5406,out,0.0
epinions,5406,in,1.0
epinions,5407,out,0.13709947889981788
epinions,5407,in,0.0
epinions,5409,out,0.15556286259996768
epinions,5409,in,0.2301627406079554
epinions,5410,out,0.24352170057198314
epinions,5410,in,0.907165767573082
epinions,5412,out,0.0
epinions,5412,in,0.6252624052234231
epinions,5415,out,0.0
epinions,5415,in,0.0
epinions,5416,out,0.0
epinions,5416,in,0.0
epinions,5417,out,0.0
epinions,5417,in,0.0
epinions,5420,out,0.0
epinions,5420,in,0.9940302114769565
epinions,5423,out,0.2974722489192898
epinions,5423,in,0.30187495879618925
epinions,5424,out,0.17556502585750267
epinions,5424,in,0.8904916402194913
epinions,5426,out,0.2580186686648154
epinions,5426,in,0.9969562518473081
epinions,5428,out,0.9043814577244937
epinions,5428,in,0.0
epinions,5429,out,0.0
epinions,5429,in,0.0
epinions,5430,out,0.0
epinions,5430,in,0.0
epinions,5432,out,0.0
epinions,5432,in,0.0
epinions,5433,out,0.0
epinions,5433,in,0.0
epinions,5434,out,0.0
epinions,5434,in,0.0
epinions,5435,out,0.0
epinions,5435,in,1.0
epinions,5436,out,0.7642045065086203
epinions,5436,in,0.6500224216483541
epinions,5437,out,0.0
epinions,5437,in,0.0
epinions,5440,out,0.0
epinions,5440,in,0.0
epinions,5452,out,0.0
epinions,5452,in,1.0
epinions,5453,out,0.0
epinions,5453,in,0.0
epinions,5454,out,0.9268190639645772
epinions,5454,in,0.0
epinions,5455,out,0.40379715049939247
epinions,5455,in,0.3533593350214213
epinions,5456,out,0.7424875695421236
epinions,5456,in,0.20307392998664564
epinions,5457,out,0.0
epinions,5457,in,0.0
epinions,5458,out,0.2667649878030259
epinions,5458,in,0.5225593745369408
epinions,5459,out,0.7219280948873623
epinions,5459,in,0.0
epinions,5460,out,0.4488644887230294
epinions,5460,in,0.4394969869215134
epinions,5462,out,0.0
epinions,5462,in,0.7219280948873623
epinions,5463,out,0.0
epinions,5463,in,0.0
epinions,5470,out,0.0
epinions,5470,in,0.0
epinions,5473,out,0.0
epinions,5473,in,0.0
epinions,5474,out,0.0
epinions,5474,in,0.0
epinions,5476,out,0.0
epinions,5476,in,0.0
epinions,5478,out,0.0
epinions,5478,in,0.0
epinions,5480,out,0.0
epinions,5480,in,0.0
epinions,5482,out,0.06591441234324169
epinions,5482,in,0.29367630985136955
epinions,5483,out,0.9450667261866614
epinions,5483,in,0.0741494835779209
epinions,5484,out,0.5975977764379983
epinions,5484,in,0.558009263286079
epinions,5489,out,0.0
epinions,5489,in,0.0
epinions,5490,out,0.0
epinions,5490,in,0.2863969571159563
epinions,5491,out,0.0
epinions,5491,in,0.0
epinions,5493,out,0.0
epinions,5493,in,0.0
epinions,5494,out,0.2580186686648154
epinions,5494,in,0.0
epinions,5495,out,0.0
epinions,5495,in,0.21639693245126448
epinions,5496,out,0.9741952479951516
epinions,5496,in,0.34845894119206783
epinions,5498,out,0.0
epinions,5498,in,0.0
epinions,5499,out,0.4689955935892811
epinions,5499,in,0.2974722489192898
epinions,5501,out,0.0
epinions,5501,in,0.3095434291503253
epinions,5502,out,0.0
epinions,5502,in,0.6343095546405662
epinions,5506,out,0.0
epinions,5506,in,0.0
epinions,5507,out,0.27992550166408575
epinions,5507,in,0.19056487700270328
epinions,5508,out,0.0
epinions,5508,in,0.9852281360342515
epinions,5510,out,0.0
epinions,5510,in,0.0
epinions,5512,out,0.0
epinions,5512,in,0.0
epinions,5514,out,0.0
epinions,5514,in,0.9182958340544896
epinions,5516,out,0.0
epinions,5516,in,0.0
epinions,5517,out,0.07253718299881018
epinions,5517,in,0.7169622516889513
epinions,5518,out,0.0
epinions,5518,in,0.0
epinions,5519,out,0.0
epinions,5519,in,0.0
epinions,5521,out,0.0
epinions,5521,in,0.9182958340544896
epinions,5522,out,0.117594665658865
epinions,5522,in,0.4976304984379155
epinions,5525,out,0.0
epinions,5525,in,0.0
epinions,5526,out,0.0
epinions,5526,in,0.5032583347756457
epinions,5527,out,0.0
epinions,5527,in,0.5422776401509497
epinions,5528,out,0.0
epinions,5528,in,0.4620663276355393
epinions,5530,out,0.8112781244591328
epinions,5530,in,0.3712323266408755
epinions,5532,out,0.6840384356390417
epinions,5532,in,0.0
epinions,5533,out,0.0
epinions,5533,in,0.0
epinions,5534,out,0.0
epinions,5534,in,0.0
epinions,5535,out,0.0
epinions,5535,in,0.0
epinions,5539,out,0.0
epinions,5539,in,0.9182958340544896
epinions,5540,out,0.906579548498746
epinions,5540,in,0.0
epinions,5541,out,0.0
epinions,5541,in,0.0
epinions,5542,out,0.8904916402194913
epinions,5542,in,0.6051865766334206
epinions,5544,out,0.4182365696541811
epinions,5544,in,0.5207375686265201
epinions,5545,out,0.15109697051711363
epinions,5545,in,0.23519338181924138
epinions,5546,out,0.672294817075638
epinions,5546,in,0.0
epinions,5547,out,0.0
