LEAD 4: NODE SIGN-ENTROPY HETEROGENEITY vs. AUC -- raw per-cell data (canonical, shared edges)
Same numbers as the PNGs / report.md tables, in plain text.

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=2 | model=walk_full ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.1562-0.1875	0.3750-0.4062		8	below_min_n
0.1875-0.2188	0.3750-0.4062		11	below_min_n
0.2188-0.2500	0.3750-0.4062		4	below_min_n
0.2500-0.2812	0.3750-0.4062		12	below_min_n
0.2812-0.3125	0.3750-0.4062		12	below_min_n
0.3125-0.3438	0.3750-0.4062		10	below_min_n
0.3438-0.3750	0.3750-0.4062		9	below_min_n
0.3750-0.4062	0.3750-0.4062		9	below_min_n
0.4062-0.4375	0.3750-0.4062		12	below_min_n
0.4375-0.4688	0.3750-0.4062		6	below_min_n
0.4688-0.5000	0.3750-0.4062		11	below_min_n
0.5000-0.5312	0.3750-0.4062		9	below_min_n
0.5312-0.5625	0.3750-0.4062		12	below_min_n
0.5625-0.5938	0.3750-0.4062		12	below_min_n
0.5938-0.6250	0.3750-0.4062		12	below_min_n
0.6250-0.6562	0.3750-0.4062	0.9000	21	
0.6562-0.6875	0.3750-0.4062		9	below_min_n
0.6875-0.7188	0.3750-0.4062		14	below_min_n
0.7188-0.7500	0.3750-0.4062		13	below_min_n
0.7500-0.7812	0.3750-0.4062		11	below_min_n
0.7812-0.8125	0.3750-0.4062		11	below_min_n
0.8125-0.8438	0.3750-0.4062		7	below_min_n
0.8438-0.8750	0.3750-0.4062		16	below_min_n
0.8750-0.9062	0.3750-0.4062		17	below_min_n
0.9062-0.9375	0.3750-0.4062		14	below_min_n
0.9375-0.9688	0.3750-0.4062	0.7963	21	
0.9688-1.0000	0.3750-0.4062	0.6528	22	
0.0000-0.0312	0.4062-0.4375	1.0000	40	
0.0312-0.0625	0.4062-0.4375		0	empty
0.0625-0.0938	0.4062-0.4375		9	below_min_n
0.0938-0.1250	0.4062-0.4375		1	below_min_n
0.1250-0.1562	0.4062-0.4375		6	below_min_n
0.1562-0.1875	0.4062-0.4375		6	below_min_n
0.1875-0.2188	0.4062-0.4375		11	below_min_n
0.2188-0.2500	0.4062-0.4375		8	below_min_n
0.2500-0.2812	0.4062-0.4375		14	below_min_n
0.2812-0.3125	0.4062-0.4375	1.0000	22	
0.3125-0.3438	0.4062-0.4375		15	below_min_n
0.3438-0.3750	0.4062-0.4375		11	below_min_n
0.3750-0.4062	0.4062-0.4375		12	below_min_n
0.4062-0.4375	0.4062-0.4375		10	below_min_n
0.4375-0.4688	0.4062-0.4375	1.0000	21	
0.4688-0.5000	0.4062-0.4375		16	below_min_n
0.5000-0.5312	0.4062-0.4375		15	below_min_n
0.5312-0.5625	0.4062-0.4375	0.9259	21	
0.5625-0.5938	0.4062-0.4375	1.0000	20	
0.5938-0.6250	0.4062-0.4375	0.9474	20	
0.6250-0.6562	0.4062-0.4375	1.0000	29	
0.6562-0.6875	0.4062-0.4375	1.0000	22	
0.6875-0.7188	0.4062-0.4375		15	below_min_n
0.7188-0.7500	0.4062-0.4375	1.0000	26	
0.7500-0.7812	0.4062-0.4375		17	below_min_n
0.7812-0.8125	0.4062-0.4375		16	below_min_n
0.8125-0.8438	0.4062-0.4375		0	empty
0.8438-0.8750	0.4062-0.4375		19	below_min_n
0.8750-0.9062	0.4062-0.4375		15	below_min_n
0.9062-0.9375	0.4062-0.4375	0.8553	23	
0.9375-0.9688	0.4062-0.4375	1.0000	26	
0.9688-1.0000	0.4062-0.4375	0.7306	46	
0.0000-0.0312	0.4375-0.4688		46	single_class
0.0312-0.0625	0.4375-0.4688		1	below_min_n
0.0625-0.0938	0.4375-0.4688		7	below_min_n
0.0938-0.1250	0.4375-0.4688		8	below_min_n
0.1250-0.1562	0.4375-0.4688		3	below_min_n
0.1562-0.1875	0.4375-0.4688		5	below_min_n
0.1875-0.2188	0.4375-0.4688		10	below_min_n
0.2188-0.2500	0.4375-0.4688		2	below_min_n
0.2500-0.2812	0.4375-0.4688		8	below_min_n
0.2812-0.3125	0.4375-0.4688		15	below_min_n
0.3125-0.3438	0.4375-0.4688		9	below_min_n
0.3438-0.3750	0.4375-0.4688		19	below_min_n
0.3750-0.4062	0.4375-0.4688		10	below_min_n
0.4062-0.4375	0.4375-0.4688		9	below_min_n
0.4375-0.4688	0.4375-0.4688		13	below_min_n
0.4688-0.5000	0.4375-0.4688		8	below_min_n
0.5000-0.5312	0.4375-0.4688		10	below_min_n
0.5312-0.5625	0.4375-0.4688		18	below_min_n
0.5625-0.5938	0.4375-0.4688		9	below_min_n
0.5938-0.6250	0.4375-0.4688		13	below_min_n
0.6250-0.6562	0.4375-0.4688		17	below_min_n
0.6562-0.6875	0.4375-0.4688		12	below_min_n
0.6875-0.7188	0.4375-0.4688		16	below_min_n
0.7188-0.7500	0.4375-0.4688		19	below_min_n
0.7500-0.7812	0.4375-0.4688		11	below_min_n
0.7812-0.8125	0.4375-0.4688		7	below_min_n
0.8125-0.8438	0.4375-0.4688		6	below_min_n
0.8438-0.8750	0.4375-0.4688		14	below_min_n
0.8750-0.9062	0.4375-0.4688		9	below_min_n
0.9062-0.9375	0.4375-0.4688	0.9375	20	
0.9375-0.9688	0.4375-0.4688		17	below_min_n
0.9688-1.0000	0.4375-0.4688	0.7692	32	
0.0000-0.0312	0.4688-0.5000	0.8952	35	
0.0312-0.0625	0.4688-0.5000		2	below_min_n
0.0625-0.0938	0.4688-0.5000		3	below_min_n
0.0938-0.1250	0.4688-0.5000		3	below_min_n
0.1250-0.1562	0.4688-0.5000		5	below_min_n
0.1562-0.1875	0.4688-0.5000		3	below_min_n
0.1875-0.2188	0.4688-0.5000		1	below_min_n
0.2188-0.2500	0.4688-0.5000		11	below_min_n
0.2500-0.2812	0.4688-0.5000		8	below_min_n
0.2812-0.3125	0.4688-0.5000		13	below_min_n
0.3125-0.3438	0.4688-0.5000		10	below_min_n
0.3438-0.3750	0.4688-0.5000		9	below_min_n
0.3750-0.4062	0.4688-0.5000		12	below_min_n
0.4062-0.4375	0.4688-0.5000		4	below_min_n
0.4375-0.4688	0.4688-0.5000		10	below_min_n
0.4688-0.5000	0.4688-0.5000		8	below_min_n
0.5000-0.5312	0.4688-0.5000		15	below_min_n
0.5312-0.5625	0.4688-0.5000		9	below_min_n
0.5625-0.5938	0.4688-0.5000		7	below_min_n
0.5938-0.6250	0.4688-0.5000		17	below_min_n
0.6250-0.6562	0.4688-0.5000		16	below_min_n
0.6562-0.6875	0.4688-0.5000		8	below_min_n
0.6875-0.7188	0.4688-0.5000		18	below_min_n
0.7188-0.7500	0.4688-0.5000		15	below_min_n
0.7500-0.7812	0.4688-0.5000		14	below_min_n
0.7812-0.8125	0.4688-0.5000		15	below_min_n
0.8125-0.8438	0.4688-0.5000		4	below_min_n
0.8438-0.8750	0.4688-0.5000		11	below_min_n
0.8750-0.9062	0.4688-0.5000		11	below_min_n
0.9062-0.9375	0.4688-0.5000	0.6406	20	
0.9375-0.9688	0.4688-0.5000		9	below_min_n
0.9688-1.0000	0.4688-0.5000	0.7794	21	
0.0000-0.0312	0.5000-0.5312	0.8889	45	
0.0312-0.0625	0.5000-0.5312		1	below_min_n
0.0625-0.0938	0.5000-0.5312		4	below_min_n
0.0938-0.1250	0.5000-0.5312		3	below_min_n
0.1250-0.1562	0.5000-0.5312		0	empty
0.1562-0.1875	0.5000-0.5312		6	below_min_n
0.1875-0.2188	0.5000-0.5312		9	below_min_n
0.2188-0.2500	0.5000-0.5312		7	below_min_n
0.2500-0.2812	0.5000-0.5312		9	below_min_n
0.2812-0.3125	0.5000-0.5312		11	below_min_n
0.3125-0.3438	0.5000-0.5312		5	below_min_n
0.3438-0.3750	0.5000-0.5312		10	below_min_n
0.3750-0.4062	0.5000-0.5312		13	below_min_n
0.4062-0.4375	0.5000-0.5312		9	below_min_n
0.4375-0.4688	0.5000-0.5312		9	below_min_n
0.4688-0.5000	0.5000-0.5312		8	below_min_n
0.5000-0.5312	0.5000-0.5312		14	below_min_n
0.5312-0.5625	0.5000-0.5312	0.6863	20	
0.5625-0.5938	0.5000-0.5312		19	below_min_n
0.5938-0.6250	0.5000-0.5312		18	below_min_n
0.6250-0.6562	0.5000-0.5312	0.8725	23	
0.6562-0.6875	0.5000-0.5312	0.9048	23	
0.6875-0.7188	0.5000-0.5312		18	below_min_n
0.7188-0.7500	0.5000-0.5312	0.7311	24	
0.7500-0.7812	0.5000-0.5312		10	below_min_n
0.7812-0.8125	0.5000-0.5312	0.7946	22	
0.8125-0.8438	0.5000-0.5312		12	below_min_n
0.8438-0.8750	0.5000-0.5312	0.9524	22	
0.8750-0.9062	0.5000-0.5312	0.7556	23	
0.9062-0.9375	0.5000-0.5312	0.5556	21	
0.9375-0.9688	0.5000-0.5312		15	below_min_n
0.9688-1.0000	0.5000-0.5312	0.8203	45	
0.0000-0.0312	0.5312-0.5625	0.8403	51	
0.0312-0.0625	0.5312-0.5625		0	empty
0.0625-0.0938	0.5312-0.5625		9	below_min_n
0.0938-0.1250	0.5312-0.5625		3	below_min_n
0.1250-0.1562	0.5312-0.5625		1	below_min_n
0.1562-0.1875	0.5312-0.5625		3	below_min_n
0.1875-0.2188	0.5312-0.5625		12	below_min_n
0.2188-0.2500	0.5312-0.5625		9	below_min_n
0.2500-0.2812	0.5312-0.5625		6	below_min_n
0.2812-0.3125	0.5312-0.5625		7	below_min_n
0.3125-0.3438	0.5312-0.5625		10	below_min_n
0.3438-0.3750	0.5312-0.5625		14	below_min_n
0.3750-0.4062	0.5312-0.5625		12	below_min_n
0.4062-0.4375	0.5312-0.5625		14	below_min_n
0.4375-0.4688	0.5312-0.5625		15	below_min_n
0.4688-0.5000	0.5312-0.5625		6	below_min_n
0.5000-0.5312	0.5312-0.5625		14	below_min_n
0.5312-0.5625	0.5312-0.5625		13	below_min_n
0.5625-0.5938	0.5312-0.5625		13	below_min_n
0.5938-0.6250	0.5312-0.5625		18	below_min_n
0.6250-0.6562	0.5312-0.5625		17	below_min_n
0.6562-0.6875	0.5312-0.5625		17	below_min_n
0.6875-0.7188	0.5312-0.5625	0.9474	22	
0.7188-0.7500	0.5312-0.5625		19	below_min_n
0.7500-0.7812	0.5312-0.5625		13	below_min_n
0.7812-0.8125	0.5312-0.5625		17	below_min_n
0.8125-0.8438	0.5312-0.5625		6	below_min_n
0.8438-0.8750	0.5312-0.5625	0.8700	29	
0.8750-0.9062	0.5312-0.5625	0.5250	21	
0.9062-0.9375	0.5312-0.5625		19	below_min_n
0.9375-0.9688	0.5312-0.5625		18	below_min_n
0.9688-1.0000	0.5312-0.5625	0.6562	36	
0.0000-0.0312	0.5625-0.5938	0.9310	30	
0.0312-0.0625	0.5625-0.5938		1	below_min_n
0.0625-0.0938	0.5625-0.5938		5	below_min_n
0.0938-0.1250	0.5625-0.5938		3	below_min_n
0.1250-0.1562	0.5625-0.5938		6	below_min_n
0.1562-0.1875	0.5625-0.5938		6	below_min_n
0.1875-0.2188	0.5625-0.5938		4	below_min_n
0.2188-0.2500	0.5625-0.5938		9	below_min_n
0.2500-0.2812	0.5625-0.5938		10	below_min_n
0.2812-0.3125	0.5625-0.5938		5	below_min_n
0.3125-0.3438	0.5625-0.5938		6	below_min_n
0.3438-0.3750	0.5625-0.5938		11	below_min_n
0.3750-0.4062	0.5625-0.5938		10	below_min_n
0.4062-0.4375	0.5625-0.5938		7	below_min_n
0.4375-0.4688	0.5625-0.5938		15	below_min_n
0.4688-0.5000	0.5625-0.5938		12	below_min_n
0.5000-0.5312	0.5625-0.5938		8	below_min_n
0.5312-0.5625	0.5625-0.5938		9	below_min_n
0.5625-0.5938	0.5625-0.5938		7	below_min_n
0.5938-0.6250	0.5625-0.5938		13	below_min_n
0.6250-0.6562	0.5625-0.5938		15	below_min_n
0.6562-0.6875	0.5625-0.5938		19	below_min_n
0.6875-0.7188	0.5625-0.5938		15	below_min_n
0.7188-0.7500	0.5625-0.5938		16	below_min_n
0.7500-0.7812	0.5625-0.5938		12	below_min_n
0.7812-0.8125	0.5625-0.5938		5	below_min_n
0.8125-0.8438	0.5625-0.5938		3	below_min_n
0.8438-0.8750	0.5625-0.5938		18	below_min_n
0.8750-0.9062	0.5625-0.5938		11	below_min_n
0.9062-0.9375	0.5625-0.5938		17	below_min_n
0.9375-0.9688	0.5625-0.5938		10	below_min_n
0.9688-1.0000	0.5625-0.5938	0.8173	38	
0.0000-0.0312	0.5938-0.6250	0.8469	53	
0.0312-0.0625	0.5938-0.6250		3	below_min_n
0.0625-0.0938	0.5938-0.6250		6	below_min_n
0.0938-0.1250	0.5938-0.6250		3	below_min_n
0.1250-0.1562	0.5938-0.6250		5	below_min_n
0.1562-0.1875	0.5938-0.6250		7	below_min_n
0.1875-0.2188	0.5938-0.6250		6	below_min_n
0.2188-0.2500	0.5938-0.6250		8	below_min_n
0.2500-0.2812	0.5938-0.6250		13	below_min_n
0.2812-0.3125	0.5938-0.6250		8	below_min_n
0.3125-0.3438	0.5938-0.6250		7	below_min_n
0.3438-0.3750	0.5938-0.6250		18	below_min_n
0.3750-0.4062	0.5938-0.6250	0.8519	21	
0.4062-0.4375	0.5938-0.6250		13	below_min_n
0.4375-0.4688	0.5938-0.6250		13	below_min_n
0.4688-0.5000	0.5938-0.6250		9	below_min_n
0.5000-0.5312	0.5938-0.6250	0.8846	27	
0.5312-0.5625	0.5938-0.6250		17	below_min_n
0.5625-0.5938	0.5938-0.6250		15	below_min_n
0.5938-0.6250	0.5938-0.6250	0.7750	22	
0.6250-0.6562	0.5938-0.6250	0.7391	26	
0.6562-0.6875	0.5938-0.6250		15	below_min_n
0.6875-0.7188	0.5938-0.6250		11	below_min_n
0.7188-0.7500	0.5938-0.6250	1.0000	23	
0.7500-0.7812	0.5938-0.6250		12	below_min_n
0.7812-0.8125	0.5938-0.6250		19	below_min_n
0.8125-0.8438	0.5938-0.6250		18	below_min_n
0.8438-0.8750	0.5938-0.6250	0.7870	21	
0.8750-0.9062	0.5938-0.6250	0.8942	21	
0.9062-0.9375	0.5938-0.6250	0.8406	29	
0.9375-0.9688	0.5938-0.6250		17	below_min_n
0.9688-1.0000	0.5938-0.6250	0.7741	43	
0.0000-0.0312	0.6250-0.6562	0.9400	31	
0.0312-0.0625	0.6250-0.6562		1	below_min_n
0.0625-0.0938	0.6250-0.6562		2	below_min_n
0.0938-0.1250	0.6250-0.6562		3	below_min_n
0.1250-0.1562	0.6250-0.6562		3	below_min_n
0.1562-0.1875	0.6250-0.6562		2	below_min_n
0.1875-0.2188	0.6250-0.6562		8	below_min_n
0.2188-0.2500	0.6250-0.6562		4	below_min_n
0.2500-0.2812	0.6250-0.6562		9	below_min_n
0.2812-0.3125	0.6250-0.6562		7	below_min_n
0.3125-0.3438	0.6250-0.6562		9	below_min_n
0.3438-0.3750	0.6250-0.6562		15	below_min_n
0.3750-0.4062	0.6250-0.6562		12	below_min_n
0.4062-0.4375	0.6250-0.6562		13	below_min_n
0.4375-0.4688	0.6250-0.6562		15	below_min_n
0.4688-0.5000	0.6250-0.6562		13	below_min_n
0.5000-0.5312	0.6250-0.6562		10	below_min_n
0.5312-0.5625	0.6250-0.6562		15	below_min_n
0.5625-0.5938	0.6250-0.6562		10	below_min_n
0.5938-0.6250	0.6250-0.6562		15	below_min_n
0.6250-0.6562	0.6250-0.6562		18	below_min_n
0.6562-0.6875	0.6250-0.6562		10	below_min_n
0.6875-0.7188	0.6250-0.6562		19	below_min_n
0.7188-0.7500	0.6250-0.6562		13	below_min_n
0.7500-0.7812	0.6250-0.6562		7	below_min_n
0.7812-0.8125	0.6250-0.6562		8	below_min_n
0.8125-0.8438	0.6250-0.6562		9	below_min_n
0.8438-0.8750	0.6250-0.6562		12	below_min_n
0.8750-0.9062	0.6250-0.6562		16	below_min_n
0.9062-0.9375	0.6250-0.6562	0.8667	22	
0.9375-0.9688	0.6250-0.6562		12	below_min_n
0.9688-1.0000	0.6250-0.6562	0.6722	47	
0.0000-0.0312	0.6562-0.6875	0.9667	47	
0.0312-0.0625	0.6562-0.6875		0	empty
0.0625-0.0938	0.6562-0.6875		5	below_min_n
0.0938-0.1250	0.6562-0.6875		5	below_min_n
0.1250-0.1562	0.6562-0.6875		1	below_min_n
0.1562-0.1875	0.6562-0.6875		8	below_min_n
0.1875-0.2188	0.6562-0.6875		5	below_min_n
0.2188-0.2500	0.6562-0.6875		7	below_min_n
0.2500-0.2812	0.6562-0.6875		17	below_min_n
0.2812-0.3125	0.6562-0.6875		17	below_min_n
0.3125-0.3438	0.6562-0.6875		4	below_min_n
0.3438-0.3750	0.6562-0.6875	0.8947	20	
0.3750-0.4062	0.6562-0.6875		9	below_min_n
0.4062-0.4375	0.6562-0.6875		16	below_min_n
0.4375-0.4688	0.6562-0.6875		15	below_min_n
0.4688-0.5000	0.6562-0.6875		11	below_min_n
0.5000-0.5312	0.6562-0.6875		19	below_min_n
0.5312-0.5625	0.6562-0.6875		12	below_min_n
0.5625-0.5938	0.6562-0.6875		16	below_min_n
0.5938-0.6250	0.6562-0.6875	0.8039	20	
0.6250-0.6562	0.6562-0.6875		18	below_min_n
0.6562-0.6875	0.6562-0.6875	0.9074	21	
0.6875-0.7188	0.6562-0.6875	0.7200	27	
0.7188-0.7500	0.6562-0.6875	0.3448	31	
0.7500-0.7812	0.6562-0.6875	0.7529	22	
0.7812-0.8125	0.6562-0.6875	0.8036	23	
0.8125-0.8438	0.6562-0.6875		13	below_min_n
0.8438-0.8750	0.6562-0.6875	0.8772	28	
0.8750-0.9062	0.6562-0.6875		19	below_min_n
0.9062-0.9375	0.6562-0.6875	0.8426	24	
0.9375-0.9688	0.6562-0.6875		19	below_min_n
0.9688-1.0000	0.6562-0.6875	0.4444	48	
0.0000-0.0312	0.6875-0.7188	0.8621	32	
0.0312-0.0625	0.6875-0.7188		1	below_min_n
0.0625-0.0938	0.6875-0.7188		2	below_min_n
0.0938-0.1250	0.6875-0.7188		5	below_min_n
0.1250-0.1562	0.6875-0.7188		3	below_min_n
0.1562-0.1875	0.6875-0.7188		6	below_min_n
0.1875-0.2188	0.6875-0.7188		3	below_min_n
0.2188-0.2500	0.6875-0.7188		13	below_min_n
0.2500-0.2812	0.6875-0.7188		5	below_min_n
0.2812-0.3125	0.6875-0.7188		8	below_min_n
0.3125-0.3438	0.6875-0.7188		4	below_min_n
0.3438-0.3750	0.6875-0.7188		14	below_min_n
0.3750-0.4062	0.6875-0.7188		8	below_min_n
0.4062-0.4375	0.6875-0.7188		11	below_min_n
0.4375-0.4688	0.6875-0.7188		16	below_min_n
0.4688-0.5000	0.6875-0.7188		9	below_min_n
0.5000-0.5312	0.6875-0.7188		15	below_min_n
0.5312-0.5625	0.6875-0.7188		16	below_min_n
0.5625-0.5938	0.6875-0.7188		15	below_min_n
0.5938-0.6250	0.6875-0.7188		13	below_min_n
0.6250-0.6562	0.6875-0.7188	0.7193	22	
0.6562-0.6875	0.6875-0.7188	0.9804	20	
0.6875-0.7188	0.6875-0.7188	0.9000	22	
0.7188-0.7500	0.6875-0.7188		17	below_min_n
0.7500-0.7812	0.6875-0.7188		17	below_min_n
0.7812-0.8125	0.6875-0.7188		12	below_min_n
0.8125-0.8438	0.6875-0.7188		16	below_min_n
0.8438-0.8750	0.6875-0.7188	0.9579	24	
0.8750-0.9062	0.6875-0.7188		17	below_min_n
0.9062-0.9375	0.6875-0.7188	0.6875	26	
0.9375-0.9688	0.6875-0.7188		16	below_min_n
0.9688-1.0000	0.6875-0.7188	0.7841	36	
0.0000-0.0312	0.7188-0.7500	1.0000	49	
0.0312-0.0625	0.7188-0.7500		2	below_min_n
0.0625-0.0938	0.7188-0.7500		6	below_min_n
0.0938-0.1250	0.7188-0.7500		3	below_min_n
0.1250-0.1562	0.7188-0.7500		3	below_min_n
0.1562-0.1875	0.7188-0.7500		3	below_min_n
0.1875-0.2188	0.7188-0.7500		10	below_min_n
0.2188-0.2500	0.7188-0.7500		7	below_min_n
0.2500-0.2812	0.7188-0.7500		10	below_min_n
0.2812-0.3125	0.7188-0.7500		1	below_min_n
0.3125-0.3438	0.7188-0.7500		8	below_min_n
0.3438-0.3750	0.7188-0.7500		17	below_min_n
0.3750-0.4062	0.7188-0.7500		15	below_min_n
0.4062-0.4375	0.7188-0.7500		10	below_min_n
0.4375-0.4688	0.7188-0.7500		19	below_min_n
0.4688-0.5000	0.7188-0.7500	0.8431	20	
0.5000-0.5312	0.7188-0.7500		18	below_min_n
0.5312-0.5625	0.7188-0.7500		19	below_min_n
0.5625-0.5938	0.7188-0.7500		13	below_min_n
0.5938-0.6250	0.7188-0.7500	0.7232	23	
0.6250-0.6562	0.7188-0.7500	0.8958	22	
0.6562-0.6875	0.7188-0.7500	0.8906	24	
0.6875-0.7188	0.7188-0.7500	0.7312	26	
0.7188-0.7500	0.7188-0.7500	0.8539	39	
0.7500-0.7812	0.7188-0.7500		14	below_min_n
0.7812-0.8125	0.7188-0.7500	0.7963	24	
0.8125-0.8438	0.7188-0.7500		18	below_min_n
0.8438-0.8750	0.7188-0.7500	0.8651	25	
0.8750-0.9062	0.7188-0.7500	0.6566	20	
0.9062-0.9375	0.7188-0.7500	0.8409	35	
0.9375-0.9688	0.7188-0.7500	0.9231	22	
0.9688-1.0000	0.7188-0.7500	0.7015	54	
0.0000-0.0312	0.7500-0.7812	0.9028	38	
0.0312-0.0625	0.7500-0.7812		1	below_min_n
0.0625-0.0938	0.7500-0.7812		4	below_min_n
0.0938-0.1250	0.7500-0.7812		3	below_min_n
0.1250-0.1562	0.7500-0.7812		1	below_min_n
0.1562-0.1875	0.7500-0.7812		8	below_min_n
0.1875-0.2188	0.7500-0.7812		7	below_min_n
0.2188-0.2500	0.7500-0.7812		7	below_min_n
0.2500-0.2812	0.7500-0.7812		10	below_min_n
0.2812-0.3125	0.7500-0.7812		9	below_min_n
0.3125-0.3438	0.7500-0.7812		4	below_min_n
0.3438-0.3750	0.7500-0.7812		15	below_min_n
0.3750-0.4062	0.7500-0.7812		17	below_min_n
0.4062-0.4375	0.7500-0.7812		13	below_min_n
0.4375-0.4688	0.7500-0.7812		7	below_min_n
0.4688-0.5000	0.7500-0.7812		7	below_min_n
0.5000-0.5312	0.7500-0.7812		17	below_min_n
0.5312-0.5625	0.7500-0.7812		13	below_min_n
0.5625-0.5938	0.7500-0.7812		14	below_min_n
0.5938-0.6250	0.7500-0.7812	0.8400	20	
0.6250-0.6562	0.7500-0.7812	0.6000	23	
0.6562-0.6875	0.7500-0.7812		9	below_min_n
0.6875-0.7188	0.7500-0.7812		19	below_min_n
0.7188-0.7500	0.7500-0.7812	0.8646	22	
0.7500-0.7812	0.7500-0.7812		9	below_min_n
0.7812-0.8125	0.7500-0.7812	0.7758	26	
0.8125-0.8438	0.7500-0.7812		10	below_min_n
0.8438-0.8750	0.7500-0.7812		16	below_min_n
0.8750-0.9062	0.7500-0.7812	0.6944	25	
0.9062-0.9375	0.7500-0.7812	0.8357	24	
0.9375-0.9688	0.7500-0.7812	0.7436	22	
0.9688-1.0000	0.7500-0.7812	0.5873	41	
0.0000-0.0312	0.7812-0.8125	0.9000	29	
0.0312-0.0625	0.7812-0.8125		4	below_min_n
0.0625-0.0938	0.7812-0.8125		2	below_min_n
0.0938-0.1250	0.7812-0.8125		5	below_min_n
0.1250-0.1562	0.7812-0.8125		3	below_min_n
0.1562-0.1875	0.7812-0.8125		5	below_min_n
0.1875-0.2188	0.7812-0.8125		8	below_min_n
0.2188-0.2500	0.7812-0.8125		7	below_min_n
0.2500-0.2812	0.7812-0.8125		6	below_min_n
0.2812-0.3125	0.7812-0.8125		9	below_min_n
0.3125-0.3438	0.7812-0.8125		9	below_min_n
0.3438-0.3750	0.7812-0.8125		11	below_min_n
0.3750-0.4062	0.7812-0.8125		10	below_min_n
0.4062-0.4375	0.7812-0.8125		13	below_min_n
0.4375-0.4688	0.7812-0.8125		9	below_min_n
0.4688-0.5000	0.7812-0.8125		7	below_min_n
0.5000-0.5312	0.7812-0.8125		13	below_min_n
0.5312-0.5625	0.7812-0.8125		13	below_min_n
0.5625-0.5938	0.7812-0.8125		11	below_min_n
0.5938-0.6250	0.7812-0.8125		14	below_min_n
0.6250-0.6562	0.7812-0.8125		12	below_min_n
0.6562-0.6875	0.7812-0.8125		11	below_min_n
0.6875-0.7188	0.7812-0.8125		14	below_min_n
0.7188-0.7500	0.7812-0.8125	0.7400	25	
0.7500-0.7812	0.7812-0.8125		10	below_min_n
0.7812-0.8125	0.7812-0.8125		18	below_min_n
0.8125-0.8438	0.7812-0.8125		7	below_min_n
0.8438-0.8750	0.7812-0.8125	0.4725	20	
0.8750-0.9062	0.7812-0.8125	0.8839	22	
0.9062-0.9375	0.7812-0.8125	0.5511	27	
0.9375-0.9688	0.7812-0.8125		14	below_min_n
0.9688-1.0000	0.7812-0.8125	0.7400	41	
0.0000-0.0312	0.8125-0.8438	0.9634	47	
0.0312-0.0625	0.8125-0.8438		1	below_min_n
0.0625-0.0938	0.8125-0.8438		9	below_min_n
0.0938-0.1250	0.8125-0.8438		2	below_min_n
0.1250-0.1562	0.8125-0.8438		2	below_min_n
0.1562-0.1875	0.8125-0.8438		7	below_min_n
0.1875-0.2188	0.8125-0.8438		5	below_min_n
0.2188-0.2500	0.8125-0.8438		7	below_min_n
0.2500-0.2812	0.8125-0.8438		11	below_min_n
0.2812-0.3125	0.8125-0.8438		5	below_min_n
0.3125-0.3438	0.8125-0.8438		7	below_min_n
0.3438-0.3750	0.8125-0.8438		17	below_min_n
0.3750-0.4062	0.8125-0.8438		12	below_min_n
0.4062-0.4375	0.8125-0.8438		6	below_min_n
0.4375-0.4688	0.8125-0.8438	0.8889	21	
0.4688-0.5000	0.8125-0.8438		10	below_min_n
0.5000-0.5312	0.8125-0.8438	0.9545	25	
0.5312-0.5625	0.8125-0.8438		19	below_min_n
0.5625-0.5938	0.8125-0.8438		11	below_min_n
0.5938-0.6250	0.8125-0.8438	0.8158	25	
0.6250-0.6562	0.8125-0.8438	0.5625	22	
0.6562-0.6875	0.8125-0.8438		11	below_min_n
0.6875-0.7188	0.8125-0.8438	1.0000	21	
0.7188-0.7500	0.8125-0.8438	0.8381	22	
0.7500-0.7812	0.8125-0.8438		15	below_min_n
0.7812-0.8125	0.8125-0.8438		16	below_min_n
0.8125-0.8438	0.8125-0.8438		10	below_min_n
0.8438-0.8750	0.8125-0.8438		15	below_min_n
0.8750-0.9062	0.8125-0.8438	0.8016	25	
0.9062-0.9375	0.8125-0.8438	0.3796	21	
0.9375-0.9688	0.8125-0.8438	0.8929	26	
0.9688-1.0000	0.8125-0.8438	0.5714	45	
0.0000-0.0312	0.8438-0.8750	0.9000	57	
0.0312-0.0625	0.8438-0.8750		1	below_min_n
0.0625-0.0938	0.8438-0.8750		5	below_min_n
0.0938-0.1250	0.8438-0.8750		5	below_min_n
0.1250-0.1562	0.8438-0.8750		5	below_min_n
0.1562-0.1875	0.8438-0.8750		5	below_min_n
0.1875-0.2188	0.8438-0.8750		5	below_min_n
0.2188-0.2500	0.8438-0.8750		9	below_min_n
0.2500-0.2812	0.8438-0.8750		10	below_min_n
0.2812-0.3125	0.8438-0.8750		13	below_min_n
0.3125-0.3438	0.8438-0.8750		10	below_min_n
0.3438-0.3750	0.8438-0.8750		17	below_min_n
0.3750-0.4062	0.8438-0.8750		19	below_min_n
0.4062-0.4375	0.8438-0.8750		12	below_min_n
0.4375-0.4688	0.8438-0.8750		16	below_min_n
0.4688-0.5000	0.8438-0.8750		17	below_min_n
0.5000-0.5312	0.8438-0.8750		14	below_min_n
0.5312-0.5625	0.8438-0.8750	0.8704	21	
0.5625-0.5938	0.8438-0.8750	0.7143	20	
0.5938-0.6250	0.8438-0.8750		17	below_min_n
