LEAD 4: NODE SIGN-ENTROPY HETEROGENEITY vs. AUC -- raw per-cell data (canonical, shared edges)
Same numbers as the PNGs / report.md tables, in plain text.

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=2 | model=walk_full ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.1250-0.1562	0.0625-0.0938		172	single_class
0.1562-0.1875	0.0625-0.0938		91	single_class
0.1875-0.2188	0.0625-0.0938		96	single_class
0.2188-0.2500	0.0625-0.0938	1.0000	92	
0.2500-0.2812	0.0625-0.0938		65	single_class
0.2812-0.3125	0.0625-0.0938		62	single_class
0.3125-0.3438	0.0625-0.0938		51	single_class
0.3438-0.3750	0.0625-0.0938	1.0000	47	
0.3750-0.4062	0.0625-0.0938	0.3077	40	
0.4062-0.4375	0.0625-0.0938	0.6932	46	
0.4375-0.4688	0.0625-0.0938		36	single_class
0.4688-0.5000	0.0625-0.0938		26	single_class
0.5000-0.5312	0.0625-0.0938		32	single_class
0.5312-0.5625	0.0625-0.0938		30	single_class
0.5625-0.5938	0.0625-0.0938	1.0000	29	
0.5938-0.6250	0.0625-0.0938	0.4000	31	
0.6250-0.6562	0.0625-0.0938		19	below_min_n
0.6562-0.6875	0.0625-0.0938	0.7500	21	
0.6875-0.7188	0.0625-0.0938	1.0000	22	
0.7188-0.7500	0.0625-0.0938	0.7500	31	
0.7500-0.7812	0.0625-0.0938	1.0000	32	
0.7812-0.8125	0.0625-0.0938	0.8012	30	
0.8125-0.8438	0.0625-0.0938		12	below_min_n
0.8438-0.8750	0.0625-0.0938	1.0000	20	
0.8750-0.9062	0.0625-0.0938		17	below_min_n
0.9062-0.9375	0.0625-0.0938	0.8421	21	
0.9375-0.9688	0.0625-0.0938		16	below_min_n
0.9688-1.0000	0.0625-0.0938	0.9072	49	
0.0000-0.0312	0.0938-0.1250	0.8534	658	
0.0312-0.0625	0.0938-0.1250		214	single_class
0.0625-0.0938	0.0938-0.1250		204	single_class
0.0938-0.1250	0.0938-0.1250		213	single_class
0.1250-0.1562	0.0938-0.1250		166	single_class
0.1562-0.1875	0.0938-0.1250		99	single_class
0.1875-0.2188	0.0938-0.1250		91	single_class
0.2188-0.2500	0.0938-0.1250		79	single_class
0.2500-0.2812	0.0938-0.1250		68	single_class
0.2812-0.3125	0.0938-0.1250	0.9306	73	
0.3125-0.3438	0.0938-0.1250		59	single_class
0.3438-0.3750	0.0938-0.1250	0.6163	45	
0.3750-0.4062	0.0938-0.1250	0.8889	36	
0.4062-0.4375	0.0938-0.1250		40	single_class
0.4375-0.4688	0.0938-0.1250		31	single_class
0.4688-0.5000	0.0938-0.1250		35	single_class
0.5000-0.5312	0.0938-0.1250		30	single_class
0.5312-0.5625	0.0938-0.1250	0.8621	31	
0.5625-0.5938	0.0938-0.1250		23	single_class
0.5938-0.6250	0.0938-0.1250	1.0000	31	
0.6250-0.6562	0.0938-0.1250		19	below_min_n
0.6562-0.6875	0.0938-0.1250	1.0000	20	
0.6875-0.7188	0.0938-0.1250	0.3600	26	
0.7188-0.7500	0.0938-0.1250	0.9383	27	
0.7500-0.7812	0.0938-0.1250		24	single_class
0.7812-0.8125	0.0938-0.1250	0.8797	26	
0.8125-0.8438	0.0938-0.1250		18	below_min_n
0.8438-0.8750	0.0938-0.1250		18	below_min_n
0.8750-0.9062	0.0938-0.1250		15	below_min_n
0.9062-0.9375	0.0938-0.1250		18	below_min_n
0.9375-0.9688	0.0938-0.1250		12	below_min_n
0.9688-1.0000	0.0938-0.1250	0.8516	33	
0.0000-0.0312	0.1250-0.1562	0.8971	710	
0.0312-0.0625	0.1250-0.1562		209	single_class
0.0625-0.0938	0.1250-0.1562		224	single_class
0.0938-0.1250	0.1250-0.1562	1.0000	188	
0.1250-0.1562	0.1250-0.1562		166	single_class
0.1562-0.1875	0.1250-0.1562	1.0000	115	
0.1875-0.2188	0.1250-0.1562		106	single_class
0.2188-0.2500	0.1250-0.1562	0.9898	100	
0.2500-0.2812	0.1250-0.1562		71	single_class
0.2812-0.3125	0.1250-0.1562	0.6845	86	
0.3125-0.3438	0.1250-0.1562		63	single_class
0.3438-0.3750	0.1250-0.1562	0.5645	64	
0.3750-0.4062	0.1250-0.1562	1.0000	48	
0.4062-0.4375	0.1250-0.1562	1.0000	44	
0.4375-0.4688	0.1250-0.1562	0.9590	63	
0.4688-0.5000	0.1250-0.1562	1.0000	37	
0.5000-0.5312	0.1250-0.1562		30	single_class
0.5312-0.5625	0.1250-0.1562	0.9500	41	
0.5625-0.5938	0.1250-0.1562	0.9394	34	
0.5938-0.6250	0.1250-0.1562	0.9540	32	
0.6250-0.6562	0.1250-0.1562	0.9714	38	
0.6562-0.6875	0.1250-0.1562	1.0000	22	
0.6875-0.7188	0.1250-0.1562	1.0000	26	
0.7188-0.7500	0.1250-0.1562	0.9167	40	
0.7500-0.7812	0.1250-0.1562	0.9368	29	
0.7812-0.8125	0.1250-0.1562	0.9031	35	
0.8125-0.8438	0.1250-0.1562	1.0000	21	
0.8438-0.8750	0.1250-0.1562	0.9420	32	
0.8750-0.9062	0.1250-0.1562	0.8056	25	
0.9062-0.9375	0.1250-0.1562	0.7778	34	
0.9375-0.9688	0.1250-0.1562	0.9568	27	
0.9688-1.0000	0.1250-0.1562	0.8093	74	
0.0000-0.0312	0.1562-0.1875	0.8854	662	
0.0312-0.0625	0.1562-0.1875		137	single_class
0.0625-0.0938	0.1562-0.1875	1.0000	128	
0.0938-0.1250	0.1562-0.1875	0.9861	121	
0.1250-0.1562	0.1562-0.1875		105	single_class
0.1562-0.1875	0.1562-0.1875	1.0000	105	
0.1875-0.2188	0.1562-0.1875	1.0000	87	
0.2188-0.2500	0.1562-0.1875	1.0000	79	
0.2500-0.2812	0.1562-0.1875	0.8289	78	
0.2812-0.3125	0.1562-0.1875		70	single_class
0.3125-0.3438	0.1562-0.1875	0.9852	48	
0.3438-0.3750	0.1562-0.1875	0.8684	61	
0.3750-0.4062	0.1562-0.1875	0.9938	57	
0.4062-0.4375	0.1562-0.1875	1.0000	52	
0.4375-0.4688	0.1562-0.1875	0.9474	44	
0.4688-0.5000	0.1562-0.1875	0.9596	36	
0.5000-0.5312	0.1562-0.1875	0.7847	40	
0.5312-0.5625	0.1562-0.1875	1.0000	30	
0.5625-0.5938	0.1562-0.1875	0.8056	38	
0.5938-0.6250	0.1562-0.1875	1.0000	45	
0.6250-0.6562	0.1562-0.1875	1.0000	42	
0.6562-0.6875	0.1562-0.1875	0.8271	26	
0.6875-0.7188	0.1562-0.1875	0.9432	30	
0.7188-0.7500	0.1562-0.1875	0.9600	27	
0.7500-0.7812	0.1562-0.1875	1.0000	48	
0.7812-0.8125	0.1562-0.1875	1.0000	32	
0.8125-0.8438	0.1562-0.1875		19	below_min_n
0.8438-0.8750	0.1562-0.1875	0.9562	38	
0.8750-0.9062	0.1562-0.1875	0.9487	22	
0.9062-0.9375	0.1562-0.1875	0.8214	22	
0.9375-0.9688	0.1562-0.1875	0.9271	20	
0.9688-1.0000	0.1562-0.1875	0.7310	47	
0.0000-0.0312	0.1875-0.2188	0.9643	584	
0.0312-0.0625	0.1875-0.2188		122	single_class
0.0625-0.0938	0.1875-0.2188		149	single_class
0.0938-0.1250	0.1875-0.2188	1.0000	144	
0.1250-0.1562	0.1875-0.2188		133	single_class
0.1562-0.1875	0.1875-0.2188		81	single_class
0.1875-0.2188	0.1875-0.2188		88	single_class
0.2188-0.2500	0.1875-0.2188	1.0000	90	
0.2500-0.2812	0.1875-0.2188	1.0000	82	
0.2812-0.3125	0.1875-0.2188	1.0000	87	
0.3125-0.3438	0.1875-0.2188	0.9953	74	
0.3438-0.3750	0.1875-0.2188	0.9154	72	
0.3750-0.4062	0.1875-0.2188	0.8108	38	
0.4062-0.4375	0.1875-0.2188		69	single_class
0.4375-0.4688	0.1875-0.2188	1.0000	60	
0.4688-0.5000	0.1875-0.2188	0.6728	57	
0.5000-0.5312	0.1875-0.2188	0.7326	45	
0.5312-0.5625	0.1875-0.2188	0.5921	40	
0.5625-0.5938	0.1875-0.2188	0.8712	37	
0.5938-0.6250	0.1875-0.2188	0.9714	39	
0.6250-0.6562	0.1875-0.2188	0.1786	29	
0.6562-0.6875	0.1875-0.2188	0.9708	46	
0.6875-0.7188	0.1875-0.2188	0.9571	43	
0.7188-0.7500	0.1875-0.2188	0.8849	46	
0.7500-0.7812	0.1875-0.2188	0.9448	44	
0.7812-0.8125	0.1875-0.2188	0.8925	43	
0.8125-0.8438	0.1875-0.2188	0.9091	25	
0.8438-0.8750	0.1875-0.2188	0.9936	37	
0.8750-0.9062	0.1875-0.2188	0.9688	28	
0.9062-0.9375	0.1875-0.2188	0.7958	34	
0.9375-0.9688	0.1875-0.2188	0.9077	28	
0.9688-1.0000	0.1875-0.2188	0.8944	75	
0.0000-0.0312	0.2188-0.2500	0.9605	645	
0.0312-0.0625	0.2188-0.2500		128	single_class
0.0625-0.0938	0.2188-0.2500		147	single_class
0.0938-0.1250	0.2188-0.2500	1.0000	152	
0.1250-0.1562	0.2188-0.2500	0.8394	138	
0.1562-0.1875	0.2188-0.2500	1.0000	124	
0.1875-0.2188	0.2188-0.2500	1.0000	135	
0.2188-0.2500	0.2188-0.2500	1.0000	115	
0.2500-0.2812	0.2188-0.2500	1.0000	78	
0.2812-0.3125	0.2188-0.2500	1.0000	110	
0.3125-0.3438	0.2188-0.2500		79	single_class
0.3438-0.3750	0.2188-0.2500		63	single_class
0.3750-0.4062	0.2188-0.2500	0.8302	54	
0.4062-0.4375	0.2188-0.2500	1.0000	55	
0.4375-0.4688	0.2188-0.2500	0.9821	74	
0.4688-0.5000	0.2188-0.2500	0.9861	58	
0.5000-0.5312	0.2188-0.2500	0.7302	58	
0.5312-0.5625	0.2188-0.2500	0.9964	60	
0.5625-0.5938	0.2188-0.2500	1.0000	50	
0.5938-0.6250	0.2188-0.2500	0.9932	41	
0.6250-0.6562	0.2188-0.2500	0.8757	42	
0.6562-0.6875	0.2188-0.2500	0.9769	33	
0.6875-0.7188	0.2188-0.2500	0.6778	47	
0.7188-0.7500	0.2188-0.2500	0.9734	59	
0.7500-0.7812	0.2188-0.2500	1.0000	65	
0.7812-0.8125	0.2188-0.2500	0.8444	39	
0.8125-0.8438	0.2188-0.2500	0.9931	30	
0.8438-0.8750	0.2188-0.2500	0.9588	36	
0.8750-0.9062	0.2188-0.2500	0.8161	35	
0.9062-0.9375	0.2188-0.2500	0.8091	53	
0.9375-0.9688	0.2188-0.2500	0.9385	33	
0.9688-1.0000	0.2188-0.2500	0.7887	87	
0.0000-0.0312	0.2500-0.2812	0.9039	522	
0.0312-0.0625	0.2500-0.2812		75	single_class
0.0625-0.0938	0.2500-0.2812		110	single_class
0.0938-0.1250	0.2500-0.2812	1.0000	102	
0.1250-0.1562	0.2500-0.2812		90	single_class
0.1562-0.1875	0.2500-0.2812		89	single_class
0.1875-0.2188	0.2500-0.2812		85	single_class
0.2188-0.2500	0.2500-0.2812	0.6522	94	
0.2500-0.2812	0.2500-0.2812	0.0141	72	
0.2812-0.3125	0.2500-0.2812		81	single_class
0.3125-0.3438	0.2500-0.2812		71	single_class
0.3438-0.3750	0.2500-0.2812	0.9861	51	
0.3750-0.4062	0.2500-0.2812	1.0000	48	
0.4062-0.4375	0.2500-0.2812	0.9302	44	
0.4375-0.4688	0.2500-0.2812	0.8750	54	
0.4688-0.5000	0.2500-0.2812	0.8649	40	
0.5000-0.5312	0.2500-0.2812	0.9545	46	
0.5312-0.5625	0.2500-0.2812	0.9865	41	
0.5625-0.5938	0.2500-0.2812	1.0000	32	
0.5938-0.6250	0.2500-0.2812	0.8718	44	
0.6250-0.6562	0.2500-0.2812	0.8214	31	
0.6562-0.6875	0.2500-0.2812	0.9571	33	
0.6875-0.7188	0.2500-0.2812	0.9826	41	
0.7188-0.7500	0.2500-0.2812	0.8571	40	
0.7500-0.7812	0.2500-0.2812	0.9412	27	
0.7812-0.8125	0.2500-0.2812	0.7545	32	
0.8125-0.8438	0.2500-0.2812	0.9861	22	
0.8438-0.8750	0.2500-0.2812	0.8796	36	
0.8750-0.9062	0.2500-0.2812	0.9307	32	
0.9062-0.9375	0.2500-0.2812	0.5673	30	
0.9375-0.9688	0.2500-0.2812	0.9069	32	
0.9688-1.0000	0.2500-0.2812	0.7625	87	
0.0000-0.0312	0.2812-0.3125	0.8509	613	
0.0312-0.0625	0.2812-0.3125		94	single_class
0.0625-0.0938	0.2812-0.3125		117	single_class
0.0938-0.1250	0.2812-0.3125	1.0000	131	
0.1250-0.1562	0.2812-0.3125		107	single_class
0.1562-0.1875	0.2812-0.3125	1.0000	97	
0.1875-0.2188	0.2812-0.3125		119	single_class
0.2188-0.2500	0.2812-0.3125	0.9916	100	
0.2500-0.2812	0.2812-0.3125	1.0000	107	
0.2812-0.3125	0.2812-0.3125	1.0000	90	
0.3125-0.3438	0.2812-0.3125	1.0000	83	
0.3438-0.3750	0.2812-0.3125	1.0000	61	
0.3750-0.4062	0.2812-0.3125	0.9322	63	
0.4062-0.4375	0.2812-0.3125	0.9009	62	
0.4375-0.4688	0.2812-0.3125	0.8309	72	
0.4688-0.5000	0.2812-0.3125	1.0000	57	
0.5000-0.5312	0.2812-0.3125	0.9892	60	
0.5312-0.5625	0.2812-0.3125	0.8976	60	
0.5625-0.5938	0.2812-0.3125	0.9238	47	
0.5938-0.6250	0.2812-0.3125	0.7639	44	
0.6250-0.6562	0.2812-0.3125	0.9446	56	
0.6562-0.6875	0.2812-0.3125	1.0000	44	
0.6875-0.7188	0.2812-0.3125	0.8664	38	
0.7188-0.7500	0.2812-0.3125	0.9667	61	
0.7500-0.7812	0.2812-0.3125	0.9389	60	
0.7812-0.8125	0.2812-0.3125	0.7741	39	
0.8125-0.8438	0.2812-0.3125	0.8000	41	
0.8438-0.8750	0.2812-0.3125	0.9810	51	
0.8750-0.9062	0.2812-0.3125	0.9615	41	
0.9062-0.9375	0.2812-0.3125	0.7893	43	
0.9375-0.9688	0.2812-0.3125	0.8030	40	
0.9688-1.0000	0.2812-0.3125	0.8538	102	
0.0000-0.0312	0.3125-0.3438	0.8359	587	
0.0312-0.0625	0.3125-0.3438		77	single_class
0.0625-0.0938	0.3125-0.3438		117	single_class
0.0938-0.1250	0.3125-0.3438	1.0000	102	
0.1250-0.1562	0.3125-0.3438	1.0000	94	
0.1562-0.1875	0.3125-0.3438		89	single_class
0.1875-0.2188	0.3125-0.3438	1.0000	114	
0.2188-0.2500	0.3125-0.3438	0.9851	103	
0.2500-0.2812	0.3125-0.3438	0.8812	82	
0.2812-0.3125	0.3125-0.3438	0.9946	94	
0.3125-0.3438	0.3125-0.3438	0.8480	71	
0.3438-0.3750	0.3125-0.3438	1.0000	56	
0.3750-0.4062	0.3125-0.3438	1.0000	55	
0.4062-0.4375	0.3125-0.3438	0.8164	66	
0.4375-0.4688	0.3125-0.3438	0.9453	70	
0.4688-0.5000	0.3125-0.3438	0.8315	50	
0.5000-0.5312	0.3125-0.3438	0.9146	47	
0.5312-0.5625	0.3125-0.3438	0.9477	47	
0.5625-0.5938	0.3125-0.3438	0.8693	54	
0.5938-0.6250	0.3125-0.3438	0.8910	43	
0.6250-0.6562	0.3125-0.3438	0.8333	38	
0.6562-0.6875	0.3125-0.3438	0.9250	33	
0.6875-0.7188	0.3125-0.3438	0.9844	40	
0.7188-0.7500	0.3125-0.3438	0.7882	39	
0.7500-0.7812	0.3125-0.3438	0.9160	41	
0.7812-0.8125	0.3125-0.3438	0.7902	35	
0.8125-0.8438	0.3125-0.3438	0.9187	28	
0.8438-0.8750	0.3125-0.3438	1.0000	38	
0.8750-0.9062	0.3125-0.3438	0.9265	21	
0.9062-0.9375	0.3125-0.3438	0.6725	41	
0.9375-0.9688	0.3125-0.3438	0.9498	41	
0.9688-1.0000	0.3125-0.3438	0.8105	83	
0.0000-0.0312	0.3438-0.3750	0.8932	684	
0.0312-0.0625	0.3438-0.3750		72	single_class
0.0625-0.0938	0.3438-0.3750		107	single_class
0.0938-0.1250	0.3438-0.3750	1.0000	110	
0.1250-0.1562	0.3438-0.3750		92	single_class
0.1562-0.1875	0.3438-0.3750		74	single_class
0.1875-0.2188	0.3438-0.3750	0.8925	96	
0.2188-0.2500	0.3438-0.3750	1.0000	83	
0.2500-0.2812	0.3438-0.3750	0.8000	91	
0.2812-0.3125	0.3438-0.3750	0.4470	91	
0.3125-0.3438	0.3438-0.3750	0.8608	84	
0.3438-0.3750	0.3438-0.3750	0.7500	88	
0.3750-0.4062	0.3438-0.3750	1.0000	72	
0.4062-0.4375	0.3438-0.3750	0.8037	76	
0.4375-0.4688	0.3438-0.3750	1.0000	69	
0.4688-0.5000	0.3438-0.3750	0.9855	75	
0.5000-0.5312	0.3438-0.3750	0.9778	63	
0.5312-0.5625	0.3438-0.3750	0.8826	50	
0.5625-0.5938	0.3438-0.3750	0.6864	49	
0.5938-0.6250	0.3438-0.3750	0.8865	53	
0.6250-0.6562	0.3438-0.3750	0.7102	54	
0.6562-0.6875	0.3438-0.3750	0.9366	51	
0.6875-0.7188	0.3438-0.3750	0.8758	52	
0.7188-0.7500	0.3438-0.3750	0.9079	50	
0.7500-0.7812	0.3438-0.3750	0.9648	57	
0.7812-0.8125	0.3438-0.3750	0.8515	59	
0.8125-0.8438	0.3438-0.3750	0.9556	42	
0.8438-0.8750	0.3438-0.3750	0.8430	41	
0.8750-0.9062	0.3438-0.3750	0.9565	35	
0.9062-0.9375	0.3438-0.3750	0.8235	42	
0.9375-0.9688	0.3438-0.3750	0.8584	49	
0.9688-1.0000	0.3438-0.3750	0.7708	119	
0.0000-0.0312	0.3750-0.4062	0.8667	587	
0.0312-0.0625	0.3750-0.4062		59	single_class
0.0625-0.0938	0.3750-0.4062		87	single_class
0.0938-0.1250	0.3750-0.4062	1.0000	76	
0.1250-0.1562	0.3750-0.4062		88	single_class
0.1562-0.1875	0.3750-0.4062	1.0000	88	
0.1875-0.2188	0.3750-0.4062	1.0000	85	
0.2188-0.2500	0.3750-0.4062	0.0375	81	
0.2500-0.2812	0.3750-0.4062	1.0000	71	
0.2812-0.3125	0.3750-0.4062	0.0128	79	
0.3125-0.3438	0.3750-0.4062	1.0000	80	
0.3438-0.3750	0.3750-0.4062	0.8865	53	
0.3750-0.4062	0.3750-0.4062	0.7862	52	
0.4062-0.4375	0.3750-0.4062		46	single_class
0.4375-0.4688	0.3750-0.4062	0.9333	66	
0.4688-0.5000	0.3750-0.4062	0.7052	54	
0.5000-0.5312	0.3750-0.4062	1.0000	45	
0.5312-0.5625	0.3750-0.4062	0.8681	40	
0.5625-0.5938	0.3750-0.4062	0.3744	44	
0.5938-0.6250	0.3750-0.4062	0.8274	34	
0.6250-0.6562	0.3750-0.4062	0.9116	47	
0.6562-0.6875	0.3750-0.4062	0.9956	34	
0.6875-0.7188	0.3750-0.4062	0.9735	44	
0.7188-0.7500	0.3750-0.4062	0.8613	40	
0.7500-0.7812	0.3750-0.4062	0.9842	34	
0.7812-0.8125	0.3750-0.4062	0.8436	47	
0.8125-0.8438	0.3750-0.4062	0.9800	30	
0.8438-0.8750	0.3750-0.4062	0.9074	39	
0.8750-0.9062	0.3750-0.4062	0.8950	31	
0.9062-0.9375	0.3750-0.4062	0.8250	42	
0.9375-0.9688	0.3750-0.4062	0.8788	46	
0.9688-1.0000	0.3750-0.4062	0.8028	89	
0.0000-0.0312	0.4062-0.4375	0.8682	443	
0.0312-0.0625	0.4062-0.4375		81	single_class
0.0625-0.0938	0.4062-0.4375		98	single_class
0.0938-0.1250	0.4062-0.4375	1.0000	100	
0.1250-0.1562	0.4062-0.4375	0.6429	99	
0.1562-0.1875	0.4062-0.4375	1.0000	72	
0.1875-0.2188	0.4062-0.4375	0.0725	70	
0.2188-0.2500	0.4062-0.4375	0.9022	73	
0.2500-0.2812	0.4062-0.4375	0.5370	55	
0.2812-0.3125	0.4062-0.4375	0.7746	74	
0.3125-0.3438	0.4062-0.4375	0.9916	82	
0.3438-0.3750	0.4062-0.4375		62	single_class
0.3750-0.4062	0.4062-0.4375	1.0000	46	
0.4062-0.4375	0.4062-0.4375	0.9333	63	
0.4375-0.4688	0.4062-0.4375	1.0000	67	
0.4688-0.5000	0.4062-0.4375	0.5290	55	
0.5000-0.5312	0.4062-0.4375	0.9350	44	
0.5312-0.5625	0.4062-0.4375	1.0000	36	
0.5625-0.5938	0.4062-0.4375	1.0000	41	
0.5938-0.6250	0.4062-0.4375	1.0000	36	
0.6250-0.6562	0.4062-0.4375	0.9762	31	
0.6562-0.6875	0.4062-0.4375	0.9136	33	
0.6875-0.7188	0.4062-0.4375	0.9416	53	
0.7188-0.7500	0.4062-0.4375	0.9361	42	
0.7500-0.7812	0.4062-0.4375	0.9412	53	
0.7812-0.8125	0.4062-0.4375	0.8099	42	
0.8125-0.8438	0.4062-0.4375	0.9333	37	
0.8438-0.8750	0.4062-0.4375	0.9493	41	
0.8750-0.9062	0.4062-0.4375	0.8040	35	
0.9062-0.9375	0.4062-0.4375	0.7984	42	
0.9375-0.9688	0.4062-0.4375	0.9730	41	
0.9688-1.0000	0.4062-0.4375	0.8144	71	
0.0000-0.0312	0.4375-0.4688	0.9020	458	
0.0312-0.0625	0.4375-0.4688		61	single_class
0.0625-0.0938	0.4375-0.4688		91	single_class
0.0938-0.1250	0.4375-0.4688	1.0000	91	
0.1250-0.1562	0.4375-0.4688	0.8478	71	
0.1562-0.1875	0.4375-0.4688	0.8667	61	
0.1875-0.2188	0.4375-0.4688	0.9892	94	
0.2188-0.2500	0.4375-0.4688	1.0000	81	
0.2500-0.2812	0.4375-0.4688		67	single_class
0.2812-0.3125	0.4375-0.4688	0.9319	96	
0.3125-0.3438	0.4375-0.4688	1.0000	63	
0.3438-0.3750	0.4375-0.4688	0.7822	50	
0.3750-0.4062	0.4375-0.4688	0.9947	43	
0.4062-0.4375	0.4375-0.4688		47	single_class
0.4375-0.4688	0.4375-0.4688	0.9643	59	
0.4688-0.5000	0.4375-0.4688	0.7500	60	
0.5000-0.5312	0.4375-0.4688	0.8658	48	
0.5312-0.5625	0.4375-0.4688	0.9615	45	
0.5625-0.5938	0.4375-0.4688	0.9467	31	
0.5938-0.6250	0.4375-0.4688	0.8333	35	
0.6250-0.6562	0.4375-0.4688	0.8514	45	
0.6562-0.6875	0.4375-0.4688	0.8898	44	
0.6875-0.7188	0.4375-0.4688	0.9500	46	
0.7188-0.7500	0.4375-0.4688	0.9475	60	
0.7500-0.7812	0.4375-0.4688	0.7927	51	
0.7812-0.8125	0.4375-0.4688	0.9602	30	
0.8125-0.8438	0.4375-0.4688	0.9074	37	
0.8438-0.8750	0.4375-0.4688	0.8378	43	
0.8750-0.9062	0.4375-0.4688	0.9091	42	
0.9062-0.9375	0.4375-0.4688	0.9315	38	
0.9375-0.9688	0.4375-0.4688	0.8821	44	
0.9688-1.0000	0.4375-0.4688	0.8505	101	
0.0000-0.0312	0.4688-0.5000	0.8780	547	
0.0312-0.0625	0.4688-0.5000		65	single_class
0.0625-0.0938	0.4688-0.5000		94	single_class
0.0938-0.1250	0.4688-0.5000	1.0000	84	
0.1250-0.1562	0.4688-0.5000		72	single_class
0.1562-0.1875	0.4688-0.5000		66	single_class
0.1875-0.2188	0.4688-0.5000	0.6722	92	
0.2188-0.2500	0.4688-0.5000	0.8784	88	
0.2500-0.2812	0.4688-0.5000	0.8065	65	
0.2812-0.3125	0.4688-0.5000	0.8671	75	
0.3125-0.3438	0.4688-0.5000	1.0000	100	
0.3438-0.3750	0.4688-0.5000	1.0000	69	
0.3750-0.4062	0.4688-0.5000	1.0000	50	
0.4062-0.4375	0.4688-0.5000	0.5152	67	
0.4375-0.4688	0.4688-0.5000	0.7314	57	
0.4688-0.5000	0.4688-0.5000	1.0000	65	
0.5000-0.5312	0.4688-0.5000	0.7566	42	
0.5312-0.5625	0.4688-0.5000	0.9906	48	
0.5625-0.5938	0.4688-0.5000	0.9350	45	
0.5938-0.6250	0.4688-0.5000	0.9924	37	
0.6250-0.6562	0.4688-0.5000	0.9667	47	
0.6562-0.6875	0.4688-0.5000	0.9941	44	
0.6875-0.7188	0.4688-0.5000	0.8450	47	
0.7188-0.7500	0.4688-0.5000	0.8856	52	
0.7500-0.7812	0.4688-0.5000	0.9570	58	
0.7812-0.8125	0.4688-0.5000	0.7860	49	
0.8125-0.8438	0.4688-0.5000	0.9048	44	
0.8438-0.8750	0.4688-0.5000	0.9546	48	
0.8750-0.9062	0.4688-0.5000	0.8753	46	
0.9062-0.9375	0.4688-0.5000	0.8141	48	
0.9375-0.9688	0.4688-0.5000	0.9370	47	
0.9688-1.0000	0.4688-0.5000	0.8319	87	
0.0000-0.0312	0.5000-0.5312	0.7883	448	
0.0312-0.0625	0.5000-0.5312		55	single_class
0.0625-0.0938	0.5000-0.5312		85	single_class
0.0938-0.1250	0.5000-0.5312	1.0000	64	
0.1250-0.1562	0.5000-0.5312	0.4706	71	
0.1562-0.1875	0.5000-0.5312	0.9688	82	
0.1875-0.2188	0.5000-0.5312		70	single_class
0.2188-0.2500	0.5000-0.5312	0.5859	66	
0.2500-0.2812	0.5000-0.5312		44	single_class
0.2812-0.3125	0.5000-0.5312	0.9679	55	
0.3125-0.3438	0.5000-0.5312	0.8361	65	
0.3438-0.3750	0.5000-0.5312	0.7267	47	
0.3750-0.4062	0.5000-0.5312	0.5317	45	
0.4062-0.4375	0.5000-0.5312	0.6842	42	
0.4375-0.4688	0.5000-0.5312	0.8800	53	
0.4688-0.5000	0.5000-0.5312	0.9632	38	
0.5000-0.5312	0.5000-0.5312	0.9329	45	
0.5312-0.5625	0.5000-0.5312	0.7607	35	
0.5625-0.5938	0.5000-0.5312	0.8026	42	
0.5938-0.6250	0.5000-0.5312	0.8558	30	
0.6250-0.6562	0.5000-0.5312	0.9533	35	
0.6562-0.6875	0.5000-0.5312	0.8889	31	
0.6875-0.7188	0.5000-0.5312	0.9500	32	
0.7188-0.7500	0.5000-0.5312	0.8747	40	
0.7500-0.7812	0.5000-0.5312	0.9659	49	
0.7812-0.8125	0.5000-0.5312	0.9211	35	
0.8125-0.8438	0.5000-0.5312	0.8917	34	
0.8438-0.8750	0.5000-0.5312	0.9147	60	
0.8750-0.9062	0.5000-0.5312	0.9740	28	
0.9062-0.9375	0.5000-0.5312	0.8227	43	
0.9375-0.9688	0.5000-0.5312	0.9018	30	
0.9688-1.0000	0.5000-0.5312	0.8014	95	
0.0000-0.0312	0.5312-0.5625	0.8378	398	
0.0312-0.0625	0.5312-0.5625		55	single_class
0.0625-0.0938	0.5312-0.5625		75	single_class
0.0938-0.1250	0.5312-0.5625	1.0000	49	
0.1250-0.1562	0.5312-0.5625	0.8393	57	
0.1562-0.1875	0.5312-0.5625	1.0000	61	
0.1875-0.2188	0.5312-0.5625		64	single_class
0.2188-0.2500	0.5312-0.5625	0.7244	80	
0.2500-0.2812	0.5312-0.5625	0.5625	42	
0.2812-0.3125	0.5312-0.5625	0.8750	57	
0.3125-0.3438	0.5312-0.5625	0.9388	50	
0.3438-0.3750	0.5312-0.5625	0.8413	45	
0.3750-0.4062	0.5312-0.5625	0.4902	37	
0.4062-0.4375	0.5312-0.5625	0.9659	46	
0.4375-0.4688	0.5312-0.5625	0.6111	39	
0.4688-0.5000	0.5312-0.5625	0.6757	44	
0.5000-0.5312	0.5312-0.5625	0.5435	27	
0.5312-0.5625	0.5312-0.5625	1.0000	27	
0.5625-0.5938	0.5312-0.5625	0.8226	35	
0.5938-0.6250	0.5312-0.5625	0.9923	31	
0.6250-0.6562	0.5312-0.5625	0.9500	22	
0.6562-0.6875	0.5312-0.5625	0.9545	26	
0.6875-0.7188	0.5312-0.5625	0.9221	32	
0.7188-0.7500	0.5312-0.5625	0.9500	31	
